yyyy mm dd   obs(mm) p24_cat0 p24_cat1 p24_cat2 p48_cat0 p48_cat1 p48_cat2
2003  1  1      0.0      0.7      0.3      0.0      0.9      0.1      0.0
2003  1  2      0.0      0.9      0.1      0.0      0.9      0.1      0.0
2003  1  3      0.0      0.9      0.1      0.0      0.8      0.1      0.1
2003  1  4      0.0      0.8      0.2      0.0      0.8      0.1      0.1
2003  1  5      0.0      0.8      0.2      0.0      0.8      0.2      0.0
2003  1  6      0.0      0.9      0.1      0.0      0.8      0.2      0.0
2003  1  7      1.1      0.6      0.4      0.0      0.8      0.2      0.0
2003  1  8      0.9      0.3      0.4      0.3      0.7      0.3      0.0
2003  1  9      0.0      0.3      0.4      0.3      0.4      0.4      0.2
2003  1 10      0.0     -999     -999     -999      0.8      0.1      0.1
2003  1 11      2.2     -999     -999     -999     -999     -999     -999
2003  1 12      0.0      0.8      0.2      0.0     -999     -999     -999
2003  1 13      1.2      0.8      0.2      0.0      0.6      0.4      0.0
2003  1 14      6.0      0.0      0.4      0.6      0.1      0.5      0.4
2003  1 15      2.3      0.3      0.7      0.0      0.2      0.6      0.2
2003  1 16      2.2      0.3      0.7      0.0      0.4      0.6      0.0
2003  1 17      0.0      0.4      0.6      0.0      0.3      0.7      0.0
2003  1 18      0.4      0.6      0.4      0.0      0.7      0.3      0.0
2003  1 19      0.0      0.7      0.2      0.1      0.6      0.4      0.0
2003  1 20      7.4      0.3      0.4      0.3      0.5      0.4      0.1
2003  1 21      0.0      0.1      0.8      0.1      0.3      0.3      0.4
2003  1 22      2.5     -999     -999     -999      0.3      0.7      0.0
2003  1 23      1.8      0.2      0.7      0.1     -999     -999     -999
2003  1 24      0.0      0.8      0.2      0.0      0.7      0.3      0.0
2003  1 25      0.0      0.8      0.2      0.0      0.6      0.4      0.0
2003  1 26      1.4      0.2      0.6      0.2      0.3      0.7      0.0
2003  1 27      0.4      0.5      0.5      0.0      0.2      0.6      0.2
2003  1 28      0.0      0.7      0.2      0.1      0.6      0.4      0.0
2003  1 29      0.0      0.9      0.1      0.0      0.8      0.1      0.1
2003  1 30      0.0      0.8      0.1      0.1      0.9      0.1      0.0
2003  1 31      0.0      1.0      0.0      0.0      0.8      0.1      0.1
2003  2  1      0.0      1.0      0.0      0.0      1.0      0.0      0.0
2003  2  2      0.0      0.2      0.8      0.0      0.2      0.8      0.0
2003  2  3      0.0      0.5      0.4      0.1      0.6      0.4      0.0
2003  2  4      2.0      0.3      0.7      0.0      0.4      0.5      0.1
2003  2  5      1.8     -999     -999     -999      0.3      0.7      0.0
2003  2  6      0.0      0.2      0.8      0.0     -999     -999     -999
2003  2  7      0.0      0.8      0.2      0.0      0.2      0.8      0.0
2003  2  8      0.0      0.8      0.1      0.1      1.0      0.0      0.0
2003  2  9      0.0      0.7      0.2      0.1      0.8      0.1      0.1
2003  2 10      0.0      0.9      0.1      0.0      0.8      0.1      0.1
2003  2 11      0.1      0.9      0.1      0.0      0.9      0.1      0.0
2003  2 12      0.0      0.9      0.1      0.0      0.9      0.1      0.0
2003  2 13      0.0      0.8      0.2      0.0      0.9      0.1      0.0
2003  2 14      0.0      0.8      0.1      0.1      0.6      0.4      0.0
2003  2 15      0.0      0.8      0.1      0.1      0.8      0.1      0.1
2003  2 16      0.0      1.0      0.0      0.0      0.8      0.1      0.1
2003  2 17      0.0      1.0      0.0      0.0      1.0      0.0      0.0
2003  2 18      0.0      1.0      0.0      0.0      1.0      0.0      0.0
2003  2 19      0.0      1.0      0.0      0.0      0.9      0.1      0.0
2003  2 20      0.0      0.8      0.1      0.1      1.0      0.0      0.0
2003  2 21      0.0      0.8      0.1      0.1      0.8      0.1      0.1
2003  2 22      0.0      1.0      0.0      0.0      0.8      0.1      0.1
2003  2 23      0.0      1.0      0.0      0.0      1.0      0.0      0.0
2003  2 24      0.0      0.9      0.1      0.0      1.0      0.0      0.0
2003  2 25      0.0      1.0      0.0      0.0      0.9      0.1      0.0
2003  2 26      0.0      0.9      0.1      0.0      0.9      0.1      0.0
